company_id,company_name,tanggal_pembukaan_instansi,rekening_induk,total_trx,total_amount,tx_month,tx_year,fee_bjbs_total_amount,fee_bjbs_total_rek_ia,fee_bjbs_per_tx,fee_institusi_total_amount,fee_institusi_total_rek_ia,fee_institusi_per_tx,fee_3rd_party_total_amount,fee_3rd_party_total_rek_ia,fee_3rd_party_per_tx
358,YAYASAN ASSYAAFI'IYYAH (YASFI),12/23/2021 8:58:24 am,5200206889765,66,79158000,MAY      ,2023,1535000,514194260070003360,1000,2818000,5200206889765,2000,0,N/A,0
363,SEKOLAH TINGGI AGAMA ISLAM AL ITTIHAD,1/26/2022 5:54:47 pm,5030102000997,10,10155000,MAY      ,2023,706500,503194260070001360,2000,180500,5030102000997,500,883000,0080102033620,2500
371,SDIT NURUL EL-BANTANY,3/22/2022 2:26:13 pm,0050206013200,3,850000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
374,YAYASAN BINA INSANI,3/28/2022 9:49:44 am,5090102000900,7,6090000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
376,KOMITE SMK NEGERI 6 BEKASI,3/29/2022 10:45:00 am,0060102071223,1,540000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
378,YAYASAN QOBASAT ANNUR,3/29/2022 1:27:28 pm,5140101000061,175,178654300,MAY      ,2023,3819500,514194260070003360,1500,2550500,5140101000061,1000,0,N/A,0
380,Al Barkah Addasukiah,3/31/2022 12:00:12 pm,5050102000605,77,55880000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
381,SDIT BINA LESTARI,4/4/2022 8:54:28 am,5140102000401,507,466374500,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
382,SMPIT Bina Citra,4/4/2022 11:35:43 am,5140102000191,12,7200000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
384,SDIT CITRA INSANI,4/6/2022 3:18:42 pm,5140102000191,199,197600000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
386,YAYASAN SEKOLAH WIRAUSAHA INDONESIA (YSWI),4/22/2022 1:01:24 pm,5140102509113,11,7792500,MAY      ,2023,77000,514194260070002360,500,0,N/A,0,152500,0080102033620,1000
388,Yayasan Cinta Keluarga,6/6/2022 11:54:03 am,0070102100062,67,1106405500,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
394,SMAIT AL_MADINAH,6/20/2022 10:00:12 am,0040251531037,1,10000,MAY      ,2023,2000,004194260070003360,0,0,N/A,0,4000,0080102033922,2000
395,TKN Citra Insani,6/21/2022 8:04:13 pm,5140102535268,26,17105500,MAY      ,2023,373500,514194260070003360,1500,0,N/A,0,0,N/A,0
396,SDIT MIFTAHUL JANNAH,6/21/2022 8:08:44 pm,5230101541641,23,10737000,MAY      ,2023,421500,523194260070003360,1500,0,N/A,0,0,N/A,0
397,YAYASAN PENDIDIKAN ISLAM MUMTAZ AL-BATANI,6/24/2022 10:17:48 am,5090201538362,283,138867152,MAY      ,2023,883500,509194260070002360,500,807500,5090201538362,1000,1543500,0080102033620,1000
397,YAYASAN PENDIDIKAN ISLAM MUMTAZ AL-BATANI,6/24/2022 10:17:48 am,5090201538362,283,138867152,MAY      ,2023,883500,509194260070002360,500,874000,509194260070002360,1000,1543500,0080102033620,1000
402,ALMA MART AL MADINAH,7/8/2022 10:25:01 am,0040251531038,2,20000,MAY      ,2023,0,N/A,0,0,N/A,0,4000,0080102033922,2000
403,TK AL FAJRI,7/14/2022 3:29:10 pm,0060251552173,42,8940000,MAY      ,2023,690500,006194260070003360,1500,509500,0060251552173,1000,0,N/A,0
404,SD Islam Al Fajri,7/14/2022 3:56:25 pm,0060122552172,95,27405000,MAY      ,2023,1578000,006194260070003360,1500,1187000,0060122552172,1000,0,N/A,0
405,SMP Islam Al fajri,7/14/2022 4:02:33 pm,0060122552171,29,8015000,MAY      ,2023,609500,006194260070003360,1500,478000,0060122552171,1000,0,N/A,0
406,Yayasan Progress Insani,7/22/2022 1:34:21 pm,0040102002440,231,375675250,MAY      ,2023,2548000,004194260070003360,1000,0,N/A,0,0,N/A,0
407,Yayasan Al Bunyan,7/29/2022 9:41:56 am,0040102999997,32,71547500,MAY      ,2023,480000,004194260070003360,2000,0,N/A,0,0,N/A,0
409,MI Sunan Gunung Djati,8/11/2022 2:52:16 pm,7070109627016,11,8073000,MAY      ,2023,107000,707194260070003360,1000,107000,7070102000080,1000,0,N/A,0
410,Pondok Pesantren At-tajdid,8/24/2022 4:54:08 pm,5160206017245,61,57935000,MAY      ,2023,586000,516194260070003360,1000,820500,5160206017245,1500,0,N/A,0
411,SEKOLAH TINGGI AGAMA ISLAM AL-MUHAJIRIN,9/9/2022 9:09:13 am,5020122572526,6,3639500,MAY      ,2023,986500,502194260070001360,2000,0,N/A,0,1223000,0080102033620,2500
412,Yayasan Pendidikan Bina Qurani,9/19/2022 5:21:45 pm,0040101000434,58,137405000,MAY      ,2023,403000,004194260070003360,1000,0,N/A,0,0,N/A,0
414,Yayasan Dakwah Islam Al Fatwa,9/21/2022 2:42:26 pm,5460102000566,129,56616000,MAY      ,2023,368000,546194260070004360,1000,0,N/A,0,0,N/A,0
418,SD Hasanah Quranic School,9/28/2022 10:06:50 am,5050121550037,65,40237500,MAY      ,2023,622000,505194260070003360,1500,383000,5050121598728,1000,0,N/A,0
421,Yayasan Pendidikan Bina Qurani Resto,10/9/2022 7:37:57 pm,0040201000435,50,18882300,MAY      ,2023,0,N/A,0,0,N/A,0,960000,0080102033620,2000
428,CV ARBA NUSANTARA MADANI,12/27/2022 11:53:06 am,0070122444888,1,20000,MAY      ,2023,2000,007194260070004360,2000,0,N/A,0,0,N/A,0
430,KOPERASI KARYAWAN RSIJ SUKAPURA,1/10/2023 2:05:06 pm,5270122656629,429,174004000,MAY      ,2023,3506000,527194260070003360,2000,0,N/A,0,3506000,0080102033922,2000
431,PONDOK PESANTREN MODERN AL-MUQODDAS,1/27/2023 10:57:36 pm,7010102665152,318,465210575,MAY      ,2023,1241000,701194260070003360,1000,1241000,7010102665152,1000,0,N/A,0
60,Universitas Nusa Bangsa,2/1/2019 4:58:37 pm,0040102001205,61,140407000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
78,YAYASAN AL KAUTSAR KLAPANUNGGAL CIBUBUR,8/6/2019 7:18:00 am,5370102001003,302,136050500,APRIL    ,2023,500,537194260070002360,500,500,5370102001003,500,1000,0080102033620,1000
97,SD Islam Khalifah Serang,12/2/2019 2:19:45 am,0050301032556,415,233770000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
104,UIN Sunan Gunung Djati Pasca,1/28/2020 5:05:58 am,7070109000080,287,271700000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
108,Yayasan Darul Izzah Depok,2/17/2020 2:37:50 am,5050102002006,77,65215000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
120,TK Plus Al Kautsar Kopo,4/29/2020 8:15:56 am,5320102000345,40,16675000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
126,SMP KHALIFAH Serang,5/6/2020 2:24:53 am,0050206036930,41,37328000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
129,Yayasan Pendidikan Islam Bintang Cipta Madani,5/28/2020 3:16:03 am,5250102001200,364,320993750,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
132,STAI Bani Saleh,6/24/2020 1:34:07 am,5340102000171,5,2518000,APRIL    ,2023,2428000,534194260070001360,2000,0,N/A,0,2927000,0080102033620,2500
135,SD Al Quran Bina Mulya,7/2/2020 7:41:47 am,5490102000515,100,37373500,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
136,SMP Boarding Bina Mulya,7/2/2020 7:42:54 am,5490102000515,11,10460500,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
138,Ponpes Tahfidz Adh Dhuha,7/8/2020 2:21:58 am,5240101001170,61,79536500,APRIL    ,2023,706500,524194260070002360,500,0,N/A,0,1162500,0080102033620,1000
139,Paud Dhuhaa Islamic School,7/8/2020 2:55:06 am,5240101001155,13,6835500,APRIL    ,2023,478500,524194260070002360,500,0,N/A,0,605500,0080102033620,1000
140,SD DHUHAA ISLAMIC SCHOOL,7/8/2020 3:21:21 am,5240101001166,42,47657500,APRIL    ,2023,665500,524194260070002360,500,0,N/A,0,1284500,0080102033620,1000
143,STHG Tasikmalaya S1,7/9/2020 7:17:55 am,0020102002620,172,281622753,APRIL    ,2023,3903000,002194260070001360,2000,0,N/A,0,4981000,0080102033620,2500
146,STIT Al - Marhalah Al - Ulya,7/13/2020 1:15:23 am,0060102071304,6,4614000,APRIL    ,2023,3068500,006194260070001360,2000,0,N/A,0,2718500,0080102033620,2500
147,HSSN PIRAMIDA BOGOR,7/15/2020 2:01:42 am,0040102001497,10,16964000,APRIL    ,2023,416000,004194260070002360,1000,0,N/A,0,416000,0080102033620,1000
148,Pondok Pesantren Darul Ikhlas,7/15/2020 2:08:23 am,5410101001060,9,18133500,APRIL    ,2023,38000,541194260070002360,500,0,N/A,0,76000,0080102033620,1000
153,STIT Hidayatunnajah,7/17/2020 1:45:31 am,5150102000766,47,146391500,APRIL    ,2023,1072000,515194260070001360,2000,0,N/A,0,1335500,0080102033620,2500
154,YAPI STEBANK ISLAM,7/17/2020 2:38:17 am,5270102000894,14,9059000,APRIL    ,2023,1142500,527194260070001360,2000,0,N/A,0,1382000,0080102033620,2500
155,TK Binakheir Cibinong,7/17/2020 6:40:23 am,5260206012574,61,41172000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
157,PGTK Yayasan Demi Masa Kehalutuju (YDMKT) Bogor,7/20/2020 1:37:31 am,0040102005350,19,13573660,APRIL    ,2023,484000,004194260070002360,500,0,N/A,0,623000,0080102033620,1000
159,SD Yayasan Demi Masa Kehalutuju (YDMKT) Bogor,7/20/2020 1:50:30 am,0040102005466,99,162974620,APRIL    ,2023,2117000,004194260070002360,500,0,N/A,0,3569500,0080102033620,1000
160,SMP Yayasan Demi Masa Kehalutuju (YDMKT) Bogor,7/20/2020 1:52:00 am,0040102005338,50,97572780,APRIL    ,2023,1031000,004194260070002360,500,0,N/A,0,1339000,0080102033620,1000
165,SEKOLAH TINGGI ILMU EKONOMI DAN BISNIS SYARIAH (STIEBS) NAHDLATUL ULAMA KABUPATEN GARUT,7/29/2020 1:18:05 am,5120102000501,1,202000,APRIL    ,2023,233500,512194260070001360,2000,0,N/A,0,288500,0080102033620,2500
168,SEKOLAH TINGGI AGAMA ISLAM (STAI) AL FALAH CICALENGKA BANDUNG,7/30/2020 9:14:55 am,5170102000541,23,16717000,APRIL    ,2023,9238500,517194260070001360,2000,0,N/A,0,10764000,0080102033620,2500
171,SEKOLAH TINGGI AGAMA ISLAM (STAI) AL-HIDAYAH BOGOR,8/4/2020 3:24:23 am,0040102001916,1,1754500,APRIL    ,2023,1183000,004194260070001360,2000,0,N/A,0,1454000,0080102033620,2500
173,MI ANDALAN,8/6/2020 1:27:18 am,7030102000110,286,158385000,APRIL    ,2023,0,N/A,0,0,N/A,0,0,N/A,0
174,Yayasan BANI SALEH Bekasi,8/6/2020 7:52:05 am,5340102000168,14,11374000,APRIL    ,2023,6206500,534194260070001360,2000,0,N/A,0,7451000,0080102033620,2500
183,STIKES MAHARDIKA,8/18/2020 10:14:46 am,0030101006891,1,2504500,APRIL    ,2023,688000,003194260070001360,2000,0,N/A,0,743000,0080102033620,2500
